"Data set code (""ISO- 3 CODE"" )",Data set identifier,Country/territory name,Geographical region,Data level,Last updated,Supplement to data level,"Records in the LOCALITY
file AAA_XY1","Records in the
LOCALITY SUBDIVISION
file AAA_XY2","Records in the
STREET
(roadnet) file AAA_XY3","Records in the ORGANIZATION
file AAA_XY4","Records in the SYNONYM
file AAA_XY5",Non-Latin scripts supported,"ISO code of
language in  the SYN_LNG fileld for non Latin script","Encoding used in the ISO 8859 folder
(UTF-8 if not available)","Data sets with specific conditions on
31 August 2024","Download the sample from www.upu.int
or ask for your sample CD",Street name
MOZ,00,Mozambique,Africa,B,2019.3,,167,,,,,,,ISO-8859-1,,,Not in use country
MMR,00,Myanmar,Asia Pacific Oceania,B+,2022.1,,505,"17,270",,56,"17,793",Mymr,,ISO-8859-1,,,Not in use country
MNP,00,N. Mariana Islands,Territories,B,2024.3,,3,,,,3,,,ISO-8859-1,,,Not in use country
NAM,00,Namibia,Africa,B,2017.3,,95,,,456,2,,,ISO-8859-1,,,Not in use country
NRU,00,Nauru,Asia Pacific Oceania,A,2019.1,,14,180,15,2,17,,,ISO-8859-1,,,street name use country
NPL,00,Nepal,Asia Pacific Oceania,B,2020.1,,904,,,14,9,,,ISO-8859-1,,,Not in use country
NLD,00,Netherlands,Western Europe,A++,2024.3,,"2,489",,"9,332,426",,1132,,,ISO-8859-1,,Yes,street name use country
NCL,00,New Caledonia,Territories,B+,2024.3,,44,15,,10,,,,ISO-8859-1,,,Not in use country
NZL,10,New Zealand,Asia Pacific Oceania,A++,2024.3,,496,852,"2,011,485","221,783","9,288",,,ISO-8859-1,PAF,Yes,street name use country
NIC,00,Nicaragua,Central and South America,B+,2018.4,,152,925,,6,,,,ISO-8859-1,,,Not in use country
NER,00,Niger,Africa,B,2017.2,,258,"33,374",,160,,,,ISO-8859-1,,,Not in use country
NGA,00,Nigeria,Africa,A,2006.4,Streets for 24 towns/cities,"44,139",866,"5,299",9,,,,ISO-8859-1,,Yes,street name use country
NIU,00,Niue,Asia Pacific Oceania,B,2017.4,,14,,,,,,,ISO-8859-1,,,Not in use country
NFK,00,Norfolk Island,Territories,B,2014.4,,1,,,,,,,ISO-8859-1,,,Not in use country
MKD,00,North Macedonia,Eastern Europe,A,2019.2,,308,"1,830","79,093",,,Cyrl,mk,,,Yes,street name use country
NOR,20,Norway,Western Europe,A++,2024.3,Premise level data,"2,160",,"2,541,498","38,107",28930,,,ISO-8859-1,Adresseregister,,street name use country
OMN,00,Oman,Asia Pacific Oceania,B,2020.1,,55,,,104,,Arab,ar,ISO-8859-6,,,Not in use country
PAK,00,Pakistan,Asia Pacific Oceania,B,2020.4,,"3,277",,,"10,524",,,,ISO-8859-1,,,Not in use country
PAN,00,Panama,Central and South America,C,2015.1,,"5,222",,,,,,,ISO-8859-1,,,Not in use country
PNG,00,Papua New Guinea,Asia Pacific Oceania,B,2015.4,,88,,,40,6,,,ISO-8859-1,,,Not in use country
PRY,00,Paraguay,Central and South America,B+,2018.4,Streets for the capital,254,"8,084",,966,,,,ISO-8859-1,,,Not in use country
PER,00,Peru,Central and South America,B+,2023.1,,"1,834","96,613",,556,,,,ISO-8859-1,,Yes,Not in use country
PHL,00,Philippines,Asia Pacific Oceania,A,2024.2,,"1,658","40,602","3,043",714,"1,667",,,ISO-8859-1,,,street name use country
PCN,00,Pitcairn,Territories,A,2019.4,,1,,13,3,,,,ISO-8859-1,,,street name use country
POL,10,Poland,Eastern Europe,A++,2024.1,,"50,580","6,248","8,536,023","7,928",13,,,ISO-8859-2,"Polish Address
Directory",Yes,street name use country
PRT,00,Portugal,Western Europe,A++,2024.3,,"3,840","30,372","2,644,674","9,399",198854,,,ISO-8859-1,,Yes,street name use country
PRI,00,Puerto Rico,Territories,B+,2024.3,,129,"2,827",,162,"2,867",,,ISO-8859-1,,,Not in use country
QAT,00,Qatar,Asia Pacific Oceania,C,2019.4,,8,,,"8,179",,Arab,,ISO-8859-6,,,Not in use country
REU,00,Réunion,Territories,B+,2024.3,,24,61,,20,,,,ISO-8859-1,,,Not in use country
ROU,00,Romania,Eastern Europe,A,2024.1,,"13,852",6,"49,144",410,8323,,,ISO-8859-1,,Yes,street name use country
RUS,01,Russian Federation,Eastern Europe,A++,2024.3,,"324,840","251,807","105,051,914","58,444","58,533",Cyrl,ru,ISO-8859-5,,Yes,street name use country
RWA,00,Rwanda,Africa,C,2017.3,,416,"3,427",39,19,7,,,ISO-8859-1,,,street name use country
SGS,00,S. Georgia and S. Sandwich,Territories,B,2020.2,,9,,,,,,,ISO-8859-1,,,Not in use country
BLM,00,Saint Barthélemy,Territories,B,2024.3,,1,,,,,,,ISO-8859-1,,,Not in use country
SHN,00,Saint Helena,Territories,A,2019.3,,8,162,48,,16,,,ISO-8859-1,,,street name use country
LCA,00,Saint Lucia,Central and South America,A,2019.4,,54,643,96,2,,,,ISO-8859-1,,,street name use country
MAF,00,Saint Martin (FR),Territories,B,2024.3,,1,,,,,,,ISO-8859-1,,,Not in use country
SPM,00,Saint Pierre and Miquelon,Territories,B+,2024.3,,2,3,,,,,,ISO-8859-1,,,Not in use country
WSM,00,Samoa,Asia Pacific Oceania,B,2014.2,,219,,,10,,,,ISO-8859-1,,,Not in use country
SMR,00,San Marino,Western Europe,A++,2019.4,,26,,"9,605",11,,,,ISO-8859-1,,,street name use country
STP,00,Sao Tomé and Principe,Africa,C,2020.3,,465,,,,1,,,ISO-8859-1,,,Not in use country
SAU,00,Saudi Arabia,Asia Pacific Oceania,B,2022.2,,"1,295",,,"37,611",44,Arab,ar,ISO-8859-6,,Yes,Not in use country
SEN,00,Senegal,Africa,A,2018.4,,514,"2,964","1,455",363,,,,ISO-8859-1,,,street name use country
SRB,00,Serbia,Eastern Europe,A+,2024.3,,"4,793",,"153,161","1,323","31,551",,,ISO-8859-2,,Yes,street name use country
SYC,00,Seychelles,Africa,C,2015.4,,28,,,,10,,,ISO-8859-1,,,Not in use country
SLE,00,Sierra Leone,Africa,C,2020.1,,212,"1,343",148,,,,,ISO-8859-1,,,street name use country
SGP,10,Singapore,Asia Pacific Oceania,A++,2024.3,,1,,"147,851","30,767",30,,,ISO-8859-1,6D PCD,Yes,street name use country
SXM,00,Sint Maarten,Territories,C,2019.3,,8,,"19,821",,,,,ISO-8859-1,,,street name use country
SVK,00,Slovakia,Eastern Europe,A++,2024.3,,"2,928","1,804","1,675,207","12,764",171,,,ISO-8859-2,,Yes,street name use country
SVN,00,Slovenia,Western Europe,A++,2024.1,,466,"6,629","572,452",562,10,,,ISO-8859-2,GURS,Yes,street name use country
SLB,00,Solomon Islands,Asia Pacific Oceania,C,2017.1,Streets for the capital,15,,16,11,1,,,ISO-8859-1,,,street name use country
SOM,00,Somalia,Africa,C,2019.4,,"9,359",,,,"2,143",Arab,,ISO-8859-6,,Yes,Not in use country
ZAF,00,South Africa,Africa,B,2024.3,,"15,271",,,"9,786","6,421",,,ISO-8859-1,,Yes,Not in use country
SSD,00,South Sudan,Africa,C,2016.2,,81,662,40,,58,,,ISO-8859-1,,,street name use country
ESP,01,Spain,Western Europe,A+,2024.2,,"57,934","72,823","6,154,096","2,543",15454,,,ISO-8859-1,INE (www.ine.es),Yes,street name use country
LKA,00,Sri Lanka,Asia Pacific Oceania,B+,2014.2,,"1,963",15,,,,,,ISO-8859-1,,Yes,Not in use country
KNA,00,St. Kitts and Nevis,Central and South America,A,2017.4,,17,8,586,44,1,,,ISO-8859-1,,,street name use country
VCT,00,St. Vincent and Grenadines,Central and South America,B,2019.4,,56,,,4,,,,ISO-8859-1,,,Not in use country
LBY,00,State of Libya,Africa,C,2020.1,,775,,,,,Arab,,ISO-8859-1,,,Not in use country
PSE,00,State of Palestine,Asia Pacific Oceania,B,2021.2,,544,,,266,16,Arab,,ISO-8859-6,,,Not in use country
SDN,00,Sudan,Africa,B,2006.4,,222,,,,,,,ISO-8859-1,,,Not in use country
SUR,00,Suriname,Central and South America,C,2017.4,,261,,,25,2,,,ISO-8859-1,,,Not in use country
SJM,00,Svalbard and Jan Mayen,Territories,B,2024.3,,7,,,2,2,,,ISO-8859-1,,,Not in use country
SWE,00,Sweden,Western Europe,A+,2024.3,,"1,743",,"1,130,651","5,483",297436,,,ISO-8859-1,,Yes,street name use country
CHE,00,Switzerland,Western Europe,A++,2024.3,,"4,240","1,421","1,912,609","1,643",319213,,,ISO-8859-1,,Yes,street name use country
SYR,00,Syria,Asia Pacific Oceania,C,2011.4,,94,,,,127,,ar,ISO-8859-6,,,Not in use country
TJK,00,Tajikistan,Eastern Europe,B,2018.4,,506,,,,,Cyrl,,ISO-8859-5,,,Not in use country
TZA,00,Tanzania,Africa,B+,2017.3,,"4,142","69,132",,,,,,ISO-8859-1,,,Not in use country
THA,00,Thailand,Asia Pacific Oceania,B,2017.3,,971,,,246,37,Thai,th,ISO-8859-11,,,Not in use country
TLS,00,Timor-Leste,Asia Pacific Oceania,B+,2020.4,,60,"2,221",,,,,,ISO-8859-1,,,Not in use country
TGO,00,Togo,Africa,C,2020.1,,60,154,"3,837",82,61,,,ISO-8859-1,,,street name use country
TON,00,Tonga,Asia Pacific Oceania,C,2019.2,,24,182,100,3,57,,,ISO-8859-1,,,street name use country
TTO,00,Trinidad and Tobago,Central and South America,B,2018.4,,72,,,"21,662",,,,ISO-8859-1,,,Not in use country
TAA,00,Tristan da Cunha,Territories,A++,2019.4,,1,,110,1,,,,ISO-8859-1,,,street name use country
TUN,00,Tunisia,Africa,B,2022.4,,"4,628",,,"1,089","1,335",,ar,ISO-8859-6,,,Not in use country
TUR,00,Türkiye,Western Europe,A,2024.3,,"2,776","56,195","1,244,561","5,600",3,,,ISO-8859-9,,Yes,street name use country
TKM,00,Turkmenistan,Eastern Europe,B,2020.3,,79,,,154,,,,,,,Not in use country
TCA,00,Turks and Caicos Is.,Territories,A,2017.2,,44,,54,2,,,,ISO-8859-1,,,street name use country
TUV,00,Tuvalu,Asia Pacific Oceania,B,2023.3,,55,,,3,,,,ISO-8859-1,,,Not in use country
UGA,00,Uganda,Africa,C,2020.1,,175,"5,803","1,182",214,,,,ISO-8859-1,,,street name use country
UKR,00,Ukraine,Eastern Europe,A++,2024.3,,"25,881",,"10,150,295","28,938","51,226",Cyrl,uk,ISO-8859-5,,Yes,street name use country
ARE,00,United Arab Emirates,Asia Pacific Oceania,C,2019.2,,7,,32,110,,Arab,ar,ISO-8859-6,,Yes,street name use country
GBR,40,United Kingdom,Western Europe,A++,2024.3,,"1,482","29,299","31,888,036","1,349,930","1,244,105",,,ISO-8859-1,"PAF Premise level with
Aliases",Yes,street name use country
URY,00,Uruguay,Central and South America,A++,2024.3,Streets for the capital,"2,060","1,236","1,060,213",25,,,,ISO-8859-1,"catalogodatos.gub.uy
(Direcciones Geográficas del Uruguay) / Open Data
Licence–Uruguay",Yes,street name use country
USA,10,USA,North America,A+,2024.3,,"39,882","2,827","47,532,387","1,283,085","36,735",,,ISO-8859-1,ZIP+4,Yes,street name use country
UZB,00,Uzbekistan,Eastern Europe,A,2020.4,,"12,416",292,"5,036","4,736",821,Cyrl,ru,ISO-8859-5,,Yes,street name use country
VUT,00,Vanuatu,Asia Pacific Oceania,C,2017.1,,48,,,67,,,,ISO-8859-1,,,Not in use country
VAT,00,Vatican City,Western Europe,A,2024.3,,1,,46,2,1,,,ISO-8859-1,,,street name use country
VEN,00,Venezuela,Central and South America,B+,2014.4,,335,"34,817",,299,3,,,ISO-8859-1,,,Not in use country
VNM,00,Viet Nam,Asia Pacific Oceania,B+,2022.2,,776,"17,671",,"3,738",776,,,,,,Not in use country
VGB,00,"Virgin Islands, British",Territories,B+,2021.3,,6,198,,,,,,ISO-8859-1,,,Not in use country
VIR,00,"Virgin Islands, U.S.",Territories,B,2024.3,,9,,,29,5,,,ISO-8859-1,,,Not in use country
WLF,00,Wallis and Futuna,Territories,A,2021.3,,5,36,42,2,,,,ISO-8859-1,,,street name use country
YEM,00,Yemen,Asia Pacific Oceania,C,2019.4,,322,"6,253",,,,Arab,,ISO-8859-6,,,Not in use country
ZMB,00,Zambia,Africa,C,2020.1,,223,,,,,,,ISO-8859-1,,,Not in use country
ZWE,00,Zimbabwe,Africa,C,2019.3,,124,14,,192,,,,ISO-8859-1,,,Not in use country
